Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration
QCOM,true,65,81,69,54.41176470588235,1.3317274597324547,0.00812910938433951,35.31612871539745,29.56327516899786,0.17322175732217573,0.34393305439330546,6.117521877897299,1.1279658288713155,0,0,8365,8366 days 00:00:00,1000.0,148145.19427549434,14714.519427549434,27640.443250867895,100.0,19814.57483146207,68.17747297197026,1626 days 00:00:00,68,1,-148.1451942754793,2074.950495049505,-25.757700092825058,72.60489372929626,-9.189816623772094,97 days 03:53:30.810810811,37 days 08:30:58.064516129,2166.0785216142594,0.7143535590956254,0.35740424289040035,1.1617193824009635,1.464813857421821,23.288593102155946,1.1730029743752948,0.3947982660886962,-0.031193890787135872,None,None,0.0008537738991797937,0.215151022593308,147.14519427549448,0.16247944319745078,0.362473585349605,-0.46764531617677996,69 days 21:31:45.882352941
TRMB,true,51,77,53,55.769230769230774,1.7311820252568566,0.005963302752293578,12.501614891079068,8.580990102752498,0.1276376146788991,0.25286697247706424,1.5956763043315372,0.9816041652964618,0,0,8720,8721 days 00:00:00,1000.0,70069.20472633884,6906.920472633884,3812.2885256316936,100.0,3234.1784418425227,66.2216959162426,1789 days 00:00:00,52,1,-70.06920472632919,154.52317073170735,-47.03901340561047,30.493047454540672,-10.18323486285078,134 days 16:33:06.206896550,48 days 00:00:00,1329.6014217512538,0.632403708409003,0.2939375612720652,1.143311692586554,1.1681372166955175,19.881233450726697,1.1210754846270101,0.3946905485367024,-0.029411982499967997,None,None,0.0007225857169316607,0.1820916006667785,69.0692047263385,0.13064932295503318,0.34653066136597477,0.8117517670017937,96 days 08:18:27.692307691
AMGN,true,44,85,70,44.927536231884055,1.332145725181699,0.006563926940639269,11.399478380187226,7.8792381223144705,0.13984018264840184,0.2776826484018265,1.5941051387818896,0.8685938306710396,0,0,10512,10513 days 00:00:00,1000.0,54302.07656996693,5330.207656996693,92356.72940340977,100.0,5790.398287113946,73.49781728333639,6318 days 00:00:00,69,1,-54.30207656996208,262.651705095061,-28.31832491966984,36.2742911916154,-8.893132071241018,143 days 11:36:46.451612902,49 days 14:31:34.736842105,773.2808499498105,0.5677402208991604,0.20240649651455145,1.1206595014453673,0.8778682776220209,17.644398956809777,1.138192635757422,0.41208865010073875,-0.025740860678847274,None,None,0.0005497636455192457,0.13854043867084992,53.30207656996727,0.10048495458387108,0.2936791116995959,-0.9422867430296866,91 days 18:46:57.391304347
IDXX,true,81,88,85,54.761904761904766,2.296482615337065,0.00989749027925062,7.956757448709681,6.703495286458705,0.21032166843407563,0.4181689642983386,1.6734785019378788,1.0574504918468235,0,0,8487,8488 days 00:00:00,1000.0,81199.83884415241,8019.983884415241,45284.96871319289,100.0,3531.081206048851,68.27666774008182,2005 days 00:00:00,84,1,-81.1998388441425,163.63599999999997,-36.6749071722161,21.06713010426941,-7.913693660652102,89 days 17:13:02.608695652,39 days 15:09:28.421052631,955.7266509880544,0.7103152748528975,0.30483654317026365,1.1470199177068716,0.40940970071364396,12.392555014462566,1.00087302205869,0.5329600866895432,-0.027262192958770942,None,None,0.0006895732580564849,0.1737724610302342,80.19983884415169,0.13944333175736578,0.2944258650022383,-0.8228996483312403,67 days 01:25:42.857142857
STLD,true,47,62,71,54.285714285714285,2.814639104091568,0.009839752600506044,7.683239608476148,6.416771541144914,0.20958673039077874,0.4162215350014057,1.6103050683494429,0.9920990037015642,0,0,7114,7115 days 00:00:00,1000.0,36721.490771384466,3572.1490771384465,2589.9328859060543,100.0,1355.2841241141527,60.23075020966521,1392 days 00:00:00,70,1,-36.72149077137874,109.73705423023436,-33.63684954946943,21.703738468178923,-8.966102787420894,76 days 10:06:18.947368421,37 days 00:45:00,510.8316037450833,0.6737102798906514,0.33710564310441055,1.1365374733158002,0.11938897247630688,7.080077981435842,1.0934537591162077,0.41423176306897236,-0.030639417154216086,None,None,0.0007080458320053015,0.17842754966533597,35.721490771384616,0.13612613912130112,0.31873877491863944,0.37924387793113673,58 days 09:56:34.285714285
CI,true,25,74,76,58.666666666666664,2.286717072854671,0.006931608133086876,6.622145981044154,5.976911244429596,0.14750462107208873,0.29306839186691314,0.9767971336179732,0.8869264813242933,0,0,10820,10821 days 00:00:00,1000.0,41005.755050809435,4000.5755050809435,5336.688831243077,100.0,1814.6334472200283,53.66186520406694,1100 days 00:00:00,75,1,-41.00575505080633,71.28327710348721,-21.808461453220318,17.142081021705714,-8.309374721830318,122 days 14:10:54.545454546,39 days 14:42:34.838709677,533.9568107448033,0.6059784877354323,0.24868700116540032,1.1257292517496735,0.24960393055291788,18.58730695310893,1.0509033311585962,0.4522882834518856,-0.0192472447791856,None,None,0.00043891532901364343,0.11060666291143814,40.00575505080925,0.09033514817760113,0.21966974424598976,-0.2503637308474874,88 days 07:02:23.999999999
HUM,true,42,86,61,45.0,1.4165850454457696,0.005513692335967653,8.863333186216188,5.66414191781863,0.1177173313729094,0.23350487042823012,1.043367929750316,0.7016072447000016,0,0,10882,10883 days 00:00:00,1000.0,23364.763879687205,2236.4763879687207,2633.5314992247672,100.0,1644.740073983994,74.06891634249867,1951 days 00:00:00,60,1,-23.36476387968287,91.93001355428571,-41.39333333333332,32.64568267713816,-10.594952760901787,164 days 13:19:59.999999998,60 days 13:05:27.272727273,373.1354773927816,0.4848815461678066,0.15050124947500695,1.102610409889165,-0.4071656436114245,21.44098182772534,1.101902246491677,0.40082378684515385,-0.024440270231782774,None,None,0.0004435974871519764,0.11178656676229806,22.3647638796872,0.07569601344100652,0.27745983526700235,-0.15076907619025162,107 days 08:23:59.999999999
EQIX,true,25,31,127,52.38095238095239,1.3255874361766276,0.020398251578436135,5.675246833674646,4.573458986844037,0.4317629917435648,0.8601262748907236,2.4503615517905586,1.0337836938650882,0,0,6177,6178 days 00:00:00,1000.0,24163.6883315458,2316.36883315458,107.59524390811008,100.0,4587.13632849894,65.88000902142244,1471 days 00:00:00,126,1,-24.163688331544108,284.28480244415846,-37.14218749999999,17.788917642224476,-7.649791055730167,38 days 10:32:43.636363636,17 days 20:48:00,184.0305715863285,0.6460437887776943,0.3142534011270039,1.1654882939025526,1.576347199083579,42.401975233038364,1.179408349530058,0.42481549815498154,-0.025758298442462562,None,None,0.0007744633610535985,0.1951647669855068,23.163688331545856,0.13872561286354346,0.36356797713313077,20.528542982186426,28 days 15:25:42.857142856
QQQ,true,36,56,64,57.14285714285714,2.2370009761450254,0.009635974304068522,3.4127230824458,2.9078823897763026,0.2055674518201285,0.4079229122055675,0.7015447878261175,0.785150228239282,0,0,6538,6539 days 00:00:00,1000.0,5662.423365148796,466.2423365148796,856.0832552402067,100.0,323.0574634783543,44.20735241840747,2450 days 00:00:00,63,1,-5.662423365148243,41.831097560975635,-13.355845070422523,10.102296893069308,-5.506708665052209,93 days 04:40:00,30 days 16:00:00,74.09659981768164,0.5639698503877729,0.22987111939208682,1.1130390830142682,-0.3053397933314466,13.051142394743252,0.929225588209651,0.5429447852760736,-0.017328794055142947,None,None,0.0003265387518862562,0.08228776547533656,4.662423365148811,0.06910215793044494,0.17560041731183823,-0.4553773436626119,66 days 09:31:25.714285714
PAYC,true,45,46,103,60.78431372549019,1.971077182273274,0.03723986856516977,2.9932644067063654,2.7991311193935844,0.7897042716319825,1.5717415115005477,2.363793688099989,1.5550810747570016,0,0,2739,2740 days 00:00:00,1000.0,12492.906160981818,1149.2906160981818,1226.5145932047958,100.0,1280.382473770172,43.1574580213867,559 days 00:00:00,102,1,-12.492906160980056,53.90032148579189,-27.10709765207851,7.666982032444766,-4.250997913188155,20 days 21:40:38.709677419,9 days 06:00:00,112.7980300700274,1.048457170016222,0.9265424773000346,1.2296438451024045,0.5105068411487395,18.26773762646441,1.0550887251351828,0.5315818893236445,-0.03086557592557898,None,None,0.001134968998836315,0.28601218770675135,11.492906160981871,0.26142379934267845,0.3283068980132631,-0.06296213476338121,16 days 07:59:59.999999999
