rank,ticker,expected_return,risk_adjusted_score,win_rate,confidence,asset_class,volatility,sample_size,statistical_significance,patterns_used,pattern_details
1,SUSHI-USD,1.3198702977825667,1.2492432162145295,0.4015748031496063,High,Crypto,18.831585596732467,127,0.8551432273001571,1,August Monthly
2,CARR,0.4873663971768137,0.5633923466890244,0.5714285714285714,High,Stock,1.820690257972822,119,0.9709465980166756,1,July Monthly
3,SOL-USD,0.7142957922009471,0.3358587482749358,0.4804583509758129,Medium,Crypto,6.5478939518804316,269,0.6811289063946582,3,"July Monthly, August Monthly, Q3 Quarterly"
4,COIN,0.6801428700198173,0.3343495897986426,0.4545454545454545,Medium,Stock,5.892102321032235,99,0.7534593032720032,1,July Monthly
5,DOT-USD,0.5971981677509206,0.24564453350025495,0.4740740740740741,High,Crypto,6.975121757034625,135,0.7659364088771686,1,August Monthly
6,PKG,0.2316034120374984,0.1633701548625257,0.5304990757855823,Very High,Stock,1.940689156949416,541,0.9906491972896212,1,July Monthly
7,HBI,0.2937223989832836,0.1509977019815254,0.5214105793450882,Very High,Stock,2.8400117056666554,397,0.9518288094004878,1,July Monthly
8,RUNE-USD,0.5713293780283483,0.14679937959573763,0.4516129032258064,Medium,Crypto,7.432533785749191,186,0.6659722813559953,1,August Monthly
9,WDAY,0.2592463521884165,0.14523530766021847,0.556390977443609,Very High,Stock,2.418695750685531,266,0.9061856171707264,1,August Monthly
10,PYPL,0.2596818949026695,0.1439125491855689,0.5384615384615384,Very High,Stock,2.2917363254007626,221,0.8774605521694097,1,July Monthly
11,XLRE,0.1471418065719968,0.1249575828546011,0.525,High,ETF,0.8794753945823588,200,0.8789766962902897,1,July Monthly
12,CFG,0.20743859638558182,0.07572953340408015,0.5,High,Stock,1.9379402503177736,224,0.7992932035409344,1,July Monthly
13,DOCU,0.2804931756390479,0.057787163503532746,0.5185185185185185,Medium,Stock,2.7569994189473994,162,0.6625227503234528,1,July Monthly
14,CHTR,0.1670599907645763,0.05664047802040725,0.5150602409638554,Very High,Stock,1.7947505425557244,332,0.8772982677503326,1,July Monthly
15,UAA,0.2397856771566909,0.030334325371245585,0.5132530120481927,Very High,Stock,3.0076879796474363,415,0.8587213480804061,1,July Monthly
16,LKQ,0.1665329909900161,0.02347528526878448,0.5350877192982456,Very High,Stock,2.195889754903249,456,0.8752780856109275,1,July Monthly
17,MPC,0.1689067912470119,0.019203259626107583,0.5307443365695793,High,Stock,2.045721928439015,309,0.7520379807162936,1,July Monthly
18,BXP,0.1183839083659238,0.014821417471641535,0.5296052631578947,Very High,Stock,1.5569179752448772,608,0.8403097762452657,1,July Monthly
19,AEE,0.0810273993695704,-0.0013801214737945156,0.5323075687428647,Very High,Stock,1.2106357242445602,590,0.8175842281025893,2,"July Monthly, August Monthly"
20,VRSK,0.0864085115427909,-0.004199960309031789,0.5151515151515151,High,Stock,1.1640830997895075,330,0.7284408296600136,1,July Monthly
21,HWM,0.1923098788195887,-0.009166355005330973,0.4945652173913043,Medium,Stock,2.333953765109586,184,0.6772818741230704,1,July Monthly
22,AWK,0.0776710740132636,-0.01207334279991397,0.5508021390374331,Medium,Stock,1.2398424794217358,374,0.6792041077177053,1,July Monthly
23,ESS,0.0934133240482998,-0.013701121208486988,0.5284431137724551,Very High,Stock,1.492109755671791,668,0.8288533527136526,1,July Monthly
24,AVB,0.0983189642536389,-0.01757086637422514,0.4970149253731343,Very High,Stock,1.4789570041438984,670,0.8376754412467619,1,July Monthly
25,KIM,0.1055859428176781,-0.031805293346989505,0.517531556802244,Very High,Stock,1.7636290299725936,713,0.8026827554770226,1,July Monthly
26,XLP,0.0387190003280941,-0.034248301673278934,0.5107142857142857,Medium,ETF,0.8278660528793909,560,0.6429166288892195,1,July Monthly
27,IR,0.134000424009268,-0.04039389591788295,0.4945054945054945,Low,Stock,1.8327977264348372,182,0.5827105958513114,1,July Monthly
28,TEAM,0.21098987610558706,-0.0410161001280957,0.544336051252184,Medium,Stock,3.0468496573343025,203,0.6656220177189278,2,"July Monthly, August Monthly"
29,LYB,0.1152216265050275,-0.044276538080946864,0.5180722891566265,Medium,Stock,1.8266111872208368,332,0.6382903449359263,1,July Monthly
30,NWSA,0.0777942599838284,-0.04883402631807532,0.5186567164179104,Low,Stock,1.3462959176247955,268,0.506923632842881,1,July Monthly
31,SYF,0.1122968580813332,-0.0552711552168314,0.5663716814159292,Low,Stock,1.9484153416365024,226,0.5064547513750473,1,July Monthly
32,FET-USD,0.4199042594910462,-0.05686447323209515,0.48,Low,Crypto,6.025007943264205,200,0.574377114713514,1,July Monthly
33,PG,0.0426260600976737,-0.06716467811306476,0.4973861090365944,High,Stock,1.1893510926365092,1339,0.7390539359003718,1,July Monthly
34,WEC,0.040495097358393,-0.06783924030793682,0.4824016563146998,Medium,Stock,1.0861432223845038,966,0.6807458809510345,1,July Monthly
35,EQR,0.0731048940896783,-0.06990281751102903,0.4955089820359281,Medium,Stock,1.5323766449849514,668,0.6645082758572057,1,July Monthly
36,LMT,0.0813091698198141,-0.07063417301531005,0.5058708414872799,Very High,Stock,1.7956108122234835,1022,0.8107816971727878,1,July Monthly
37,DLR,0.0848416481298349,-0.07180254697383591,0.528604118993135,Low,Stock,1.760949416851608,437,0.5944005586970628,1,July Monthly
38,VTR,0.1133845085407476,-0.0738964245665957,0.5,High,Stock,2.1175140660413936,608,0.7158184906538797,1,July Monthly
