Ticker,Allocation [%],Strategy Type,Short Window,Long Window,Signal Window,Stop Loss [%],Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Metric Type
WELL,,SMA,69,70,0,,true,false,1,360,1.055730695920519,50.41782729805014,1.7756614587837634,1.0299719846674236,0.8182597914399653,-0.12726218910040957,18 days 13:34:15.710306405,0.021755247454276778,0.6635653471429825,1.325287457210568,0.6834537175533856,0,11393,11394 days 00:00:00,1000.0,20968.241277283632,1996.8241277283632,2288.0000187800965,100.0,3881.021612407081,38.08913337146504,2146 days 00:00:00,359,-20.968241277281777,47.668746030330674,-15.855970149253718,4.551574152247969,-2.550983028434143,23 days 15:46:44.419889502,13 days 09:18:12.134831460,55.680249355322886,0.5650937572140423,0.2688180690082609,1.1182736099479293,0.4012994560060191,18.781875317927067,1.085372691458899,1.0303130148270183,-0.01704754116215792,0.00032873473842465504,0.08284115408301307,19.96824127728361,0.0696183859440287,0.17642973948844698,6666,718,16501.765873015873,"Most Omega Ratio, Most Sharpe Ratio, Most Sortino Ratio, Most Total Return [%], Mean Avg Winning Trade [%], Median Total Trades"
