Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Total Period,Maturity,Score,Avg Trade Duration
IRM,false,19,21,false,107,38.31775700934579,1.3183773557721572,0.014585605234460196,1.8472938563283194,1.1603960182237032,0.3062977099236641,0.6125954198473282,0.5658218777494185,0.4708074437696597,0,0,7336,7337 days 00:00:00,1000.0,2786.6157073095596,178.66157073095596,2790.827215668204,100.0,300.3170409217214,68.94511287143247,6587 days 00:00:00,107,0,0.0,80.31639152077062,-21.844993041804184,14.148798892154272,-5.794550181078709,75 days 16:58:32.195121951,16 days 10:10:54.545454545,16.697343058967824,0.3248255988382388,0.07586467941582822,1.0692198492008091,0.3109643539810579,20.281544797961107,1.0977808456583362,0.39010989010989006,-0.02012241213711941,None,None,0.00023555959421993664,0.05936101774342403,1.7866157073095668,0.035826037239658826,0.21993647104293113,-0.9359825754428945,10625.555555555555,1.240248658638167,0.48357302391712276,39 days 03:21:52.149532709
IRM,false,19,20,false,107,38.31775700934579,1.287173299495049,0.014585605234460196,1.8466075798512054,1.1599649268254852,0.3062977099236641,0.6125954198473282,0.5656116728361039,0.46885104032850977,0,0,7336,7337 days 00:00:00,1000.0,2763.970006896471,176.39700068964714,2790.827215668204,100.0,320.38502102862293,66.01861415340312,6587 days 00:00:00,107,0,0.0,80.31639152077062,-21.844993041804184,14.339950001202018,-5.914408166745509,74 days 11:07:19.024390244,17 days 04:21:49.090909091,16.48570099903244,0.323267246218595,0.07858073293115703,1.0688846973907444,0.31752023196939294,20.27477445924243,1.1027101624980502,0.38879424569373466,-0.020104267010250004,None,None,0.00023449575545597063,0.0590929303749046,1.7639700068964723,0.03553577714114531,0.21999863440183465,-0.9367940087084852,10625.555555555555,1.240248658638167,0.4701656713742026,39 days 03:08:24.672897195
IRM,false,9,57,false,91,39.56043956043956,1.3763345008383505,0.012404580152671756,2.1513797251106066,1.395238157160545,0.2604961832061069,0.5209923664122138,0.5604262070183165,0.45264471497275643,0,0,7336,7337 days 00:00:00,1000.0,2649.6982865174177,164.96982865174178,2790.827215668204,100.0,234.41588698516347,72.2165336637155,6591 days 00:00:00,91,0,0.0,84.43950762249402,-21.844993041804194,14.499263051188372,-5.930871179231205,94 days 14:00:00,16 days 14:24:00,18.128552599092487,0.31539862117176815,0.06878036335027128,1.066128778947145,0.1691521700359926,20.51831117381531,1.0736261683912216,0.4098770176787087,-0.020221954681896966,None,None,0.00022934181465325603,0.05779413729262052,1.6496982865174052,0.034035146204737465,0.2205312589510621,-0.9408885552908572,10625.555555555555,1.1437670295268383,0.462115246405222,47 days 10:48:47.472527472
IRM,false,18,25,false,103,39.80582524271845,1.2844805848703804,0.014040348964013086,1.8426519548938716,1.202430847535393,0.29484732824427484,0.5896946564885497,0.5433010057845481,0.44864833982225094,0,0,7336,7337 days 00:00:00,1000.0,2590.024373919543,159.0024373919543,2790.827215668204,100.0,290.96132007909563,71.29545601049372,6619 days 00:00:00,103,0,0.0,74.35224264235494,-21.84499304180419,13.88896585389929,-6.1234588492871325,78 days 06:26:20.487804878,15 days 23:36:46.451612903,15.43712984387907,0.3111888509848403,0.06800152985919057,1.0660657507801934,0.2328362601472348,19.95046991074137,1.0892747293893439,0.3922201138519924,-0.020147729276450716,None,None,0.00022556263702415522,0.05684178453008711,1.590024373919527,0.03322647415543445,0.21983145621964667,-0.9430267712385468,10625.555555555555,1.2168456376625965,0.4575998735445293,40 days 18:38:26.796116504
IRM,false,9,56,false,94,38.297872340425535,1.3756821619845119,0.012813522355507088,2.070842763869884,1.3001454394718495,0.2690839694656489,0.5381679389312978,0.5572305910413239,0.4515453331051132,0,0,7336,7337 days 00:00:00,1000.0,2637.190946670846,163.71909466708462,2790.827215668204,100.0,240.85627435205868,72.17903392224162,6591 days 00:00:00,94,0,0.0,84.43950762249403,-21.844993041804194,14.47629327638748,-5.629092037003109,93 days 08:40:00,16 days 10:20:41.379310344,17.416924964583465,0.3144381269889617,0.06847383366396805,1.0659470788251404,0.17695700313493795,20.449845675351668,1.0779690383607636,0.4085237089652524,-0.020303134664282976,None,None,0.0002289412168452264,0.057693186644997056,1.637190946670854,0.03386711978288526,0.2208185169531189,-0.9413367141656295,10625.555555555555,1.1624674575441276,0.4533619630446668,45 days 21:26:48.510638297
IRM,false,9,55,false,96,38.54166666666667,1.3484905352583751,0.013086150490730643,1.9622683922402158,1.2398212177747268,0.2748091603053435,0.549618320610687,0.5392493291652501,0.44035402280897085,0,0,7336,7337 days 00:00:00,1000.0,2535.5972280813467,153.55972280813467,2790.827215668204,100.0,244.04492647426426,72.07522414228048,6596 days 00:00:00,96,0,0.0,84.43950762249402,-21.844993041804177,14.065185993855064,-5.62769688334876,90 days 16:51:53.513513514,16 days 04:28:28.474576271,15.995804459180704,0.3070446217819884,0.06572967848478191,1.0643821834851284,0.16588613179387438,20.379800780623032,1.077899737085365,0.4079831126463251,-0.02031799155609236,None,None,0.00022384420466845455,0.056408739576450546,1.5355972280813361,0.032473058748980765,0.22110118130367173,-0.9449769867707958,10625.555555555555,1.174769043057719,0.4407608586422581,44 days 21:45:00
IRM,false,19,23,false,105,39.04761904761905,1.2668462985506985,0.01431297709923664,1.7887991599375708,1.145054887703988,0.3005725190839695,0.601145038167939,0.5376638696377241,0.44132738406849814,0,0,7336,7337 days 00:00:00,1000.0,2520.9805129690894,152.09805129690892,2790.827215668204,100.0,294.56721948538046,69.92468580926653,6619 days 00:00:00,105,0,0.0,74.35224264235494,-21.84499304180418,13.984959759525777,-6.024366224173626,76 days 20:29:16.097560976,16 days 07:52:30,14.485528694943703,0.30608350491304565,0.06732046643799108,1.0649558305301878,0.23495617644974287,19.911567365362714,1.091282901473979,0.3911642017444066,-0.020147729276450716,None,None,0.00022197767393001218,0.05593837383036307,1.5209805129690745,0.03226806438006813,0.21994600246433474,-0.945500728084131,10625.555555555555,1.228602873420102,0.4397046436439435,39 days 23:05:08.571428571
IRM,false,20,22,false,106,38.67924528301887,1.2582590623870908,0.014449291166848418,1.7616566366655912,1.1170417894105977,0.3034351145038168,0.6068702290076337,0.5345484832630325,0.4375237804070181,0,0,7336,7337 days 00:00:00,1000.0,2486.297652893685,148.62976528936852,2790.827215668204,100.0,297.6074877908957,70.15515164020051,6621 days 00:00:00,106,0,0.0,74.35224264235494,-21.84499304180418,14.04076921099483,-5.983629756372852,76 days 22:14:38.048780487,16 days 01:28:36.923076923,14.021675970695192,0.30348525063592524,0.06607107756082678,1.0643744146006202,0.23491337561084874,19.922262794165185,1.0911900490769961,0.3914280295846767,-0.020147729276450716,None,None,0.00022006396178286876,0.05545611836928293,1.4862976528937044,0.031777019345655466,0.21991661423015912,-0.9467434728832604,10625.555555555555,1.2344394994956018,0.43091309906024416,39 days 14:29:26.037735848
IRM,false,14,29,false,107,38.31775700934579,1.2617054633520113,0.014585605234460196,1.6874526218904569,1.0599901562357703,0.3062977099236641,0.6125954198473282,0.5168628736897296,0.4270856732904241,0,0,7336,7337 days 00:00:00,1000.0,2392.770388677768,139.27703886777678,2790.827215668204,100.0,279.4425926510405,69.39539248477796,6603 days 00:00:00,107,0,0.0,74.35224264235494,-21.8449930418042,13.801152400381008,-5.83772451323246,77 days 18:08:46.829268292,15 days 14:54:32.727272727,13.016545688577267,0.2963644734096521,0.06392106797913331,1.0626058438177073,0.23893923587482918,20.043274581943233,1.0918377613358599,0.3935422602089269,-0.020147729276450716,None,None,0.00021429570492402815,0.05400251764085509,1.3927703886777643,0.030419123410608373,0.21929767523566976,-0.950094710956719,10625.555555555555,1.240248658638167,0.4198092434952735,39 days 10:19:03.925233644
IRM,false,42,61,false,52,38.46153846153847,1.5082449031826395,0.007088331515812432,3.712582572693208,1.3676856042340058,0.14885496183206107,0.29770992366412213,0.5526363371566225,0.4986674707844521,0,0,7336,7337 days 00:00:00,1000.0,3177.541250400498,217.7541250400498,2790.827215668204,100.0,184.5098560738475,63.73978379000367,3286 days 00:00:00,52,0,0.0,69.76874499852696,-19.74564906490647,20.99032791548919,-7.086008266554285,158 days 03:36:00,38 days 06:45:00,41.8757932769327,0.34896858700972594,0.09287757996553059,1.0733559062825724,0.013103978518879452,21.83500842957025,1.0516520184717146,0.4216237163340438,-0.020118511969353842,None,None,0.00025591740119672253,0.06449118510157408,2.177541250400486,0.040507121050517014,0.2224130084292739,-0.9219750603629134,10625.555555555555,0.8646066051208814,0.4100136086438337,84 days 09:13:50.769230770
IRM,false,21,22,false,103,39.80582524271845,1.2364366922923322,0.014040348964013086,1.7057985365209998,1.1131265318695052,0.29484732824427484,0.5896946564885497,0.5029501410162108,0.4109667710900856,0,0,7336,7337 days 00:00:00,1000.0,2258.177668411786,125.81776684117855,2790.827215668204,100.0,270.1276241610688,72.95649952742916,6768 days 00:00:00,103,0,0.0,74.35224264235494,-21.84499304180419,13.670641646086573,-6.2064364230304285,78 days 07:01:27.804878049,15 days 23:36:46.451612903,12.215317169046472,0.285411179538785,0.05668413397354511,1.0604332962662169,0.232435945269596,19.965745653259994,1.0861096472654004,0.3916919575113809,-0.020303134664282966,None,None,0.00020684201941090463,0.05212418889154797,1.2581776684117982,0.02837222837304565,0.2197933211405276,-0.9549173929024287,10625.555555555555,1.2168456376625965,0.4034882381411676,40 days 18:52:25.631067960
IRM,false,19,24,false,104,39.42307692307692,1.2359915001097688,0.014176663031624863,1.695958835751513,1.0960641908230144,0.29770992366412213,0.5954198473282443,0.5049037755290764,0.4129026873602197,0,0,7336,7337 days 00:00:00,1000.0,2274.195870693229,127.41958706932293,2790.827215668204,100.0,274.6044450504959,72.36583691001928,6768 days 00:00:00,104,0,0.0,74.35224264235494,-21.84499304180419,13.74300724542064,-6.144183780064903,78 days 08:46:49.756097560,15 days 17:31:25.714285714,12.251883372050315,0.28673387550724067,0.05765289905107436,1.0606763753322785,0.23224900938468293,19.93933095098704,1.0873729733561333,0.39195598558148353,-0.020303134664282938,None,None,0.00020786247420208066,0.05238134349892433,1.2741958706932266,0.02862192056533175,0.21985876816205277,-0.954343433963247,10625.555555555555,1.2227383870793096,0.40328997165133623,40 days 10:09:13.846153845
IRM,false,20,23,false,104,39.42307692307692,1.2309935853352183,0.014176663031624863,1.6781322591630232,1.084543231804602,0.29770992366412213,0.5954198473282443,0.49959662677372446,0.40773227273142143,0,0,7336,7337 days 00:00:00,1000.0,2231.4874135403375,123.14874135403375,2790.827215668204,100.0,271.66230942834284,72.95649952742916,6768 days 00:00:00,104,0,0.0,74.35224264235494,-21.84499304180419,13.681992097901421,-6.133903508904822,78 days 05:51:13.170731708,15 days 17:54:17.142857142,11.841225130195546,0.2831752651365826,0.055840110515433625,1.0599532839802346,0.23275949774160343,19.968600567340935,1.0866575333828392,0.3914280295846767,-0.020303134664282966,None,None,0.00020521541192153206,0.05171428380422608,1.2314874135403304,0.027952355733188217,0.2197866757977422,-0.9558737493089309,10625.555555555555,1.2227383870793096,0.39662958638643586,40 days 09:13:50.769230768
IRM,false,46,56,false,50,40.0,1.4704237719047824,0.006815703380588877,3.7601622449982726,1.3852135734014637,0.14312977099236643,0.28625954198473286,0.5381911610207452,0.480190706698084,0,0,7336,7337 days 00:00:00,1000.0,2964.65388873742,196.465388873742,2790.827215668204,100.0,168.00005866593926,64.67446125235297,3287 days 00:00:00,50,0,0.0,70.49846017976064,-19.74564906490648,20.941455946828583,-7.6940335562219335,157 days 22:48:00,40 days 16:00:00,39.293077774748454,0.33618193459223716,0.08589502794387661,1.0707129905597668,0.013300306198232921,21.96994427056108,1.0519372205361095,0.41914893617021276,-0.020059001595267776,None,None,0.000246172273612255,0.062035412950288256,1.964653888737402,0.038031750419410315,0.22208103220397374,-0.9296031700670144,10625.555555555555,0.8478165290562664,0.39254396204793174,87 days 13:55:12
IRM,false,47,55,false,50,40.0,1.4704237719047824,0.006815703380588877,3.7601622449982726,1.3852135734014637,0.14312977099236643,0.28625954198473286,0.5381911610207452,0.480190706698084,0,0,7336,7337 days 00:00:00,1000.0,2964.65388873742,196.465388873742,2790.827215668204,100.0,168.00005866593926,64.67446125235297,3287 days 00:00:00,50,0,0.0,70.49846017976064,-19.74564906490648,20.941455946828583,-7.6940335562219335,157 days 22:48:00,40 days 16:00:00,39.293077774748454,0.33618193459223716,0.08589502794387661,1.0707129905597668,0.013300306198232921,21.96994427056108,1.0519372205361095,0.41914893617021276,-0.020059001595267776,None,None,0.000246172273612255,0.062035412950288256,1.964653888737402,0.038031750419410315,0.22208103220397374,-0.9296031700670144,10625.555555555555,0.8478165290562664,0.39254396204793174,87 days 13:55:12
