Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
Mean Max Drawdown [%],APD,SMA,14,42,0,true,false,1,158,0.8312594198157779,44.5859872611465,1.209219445355756,1.3434140236327017,0.43601740620649815,-0.9592935558035259,42 days 00:18:20.636942675,0.009515803752782478,0.29128259151962077,0.5807216223334211,0.3913131182875344,0,11391,11392 days 00:00:00,1000.0,3760.8345579054517,276.08345579054514,6782.303422475293,100.0,872.1499499164445,47.36751652943653,5060 days 00:00:00,157,-3.7608345579051274,46.14054006501624,-29.138284309851674,9.400046163095482,-5.138933674785628,66 days 05:49:42.857142858,22 days 12:24:49.655172413,17.60888785008507,0.29883862816937046,0.09152907766282707,1.0594155069926459,-0.0067658318239698255,15.896710882922827,1.1013527843665316,0.38774515775368495,-0.019077627242310248,None,None,0.00019068192340669662,0.04805184469848755,2.7608345579054183,0.029735628906884637,0.19351716476787245,6597,6596,16498.869047619046,,
Median Max Drawdown [%],APD,SMA,14,42,0,true,false,1,158,0.8312594198157779,44.5859872611465,1.209219445355756,1.3434140236327017,0.43601740620649815,-0.9592935558035259,42 days 00:18:20.636942675,0.009515803752782478,0.29128259151962077,0.5807216223334211,0.3913131182875344,0,11391,11392 days 00:00:00,1000.0,3760.8345579054517,276.08345579054514,6782.303422475293,100.0,872.1499499164445,47.36751652943653,5060 days 00:00:00,157,-3.7608345579051274,46.14054006501624,-29.138284309851674,9.400046163095482,-5.138933674785628,66 days 05:49:42.857142858,22 days 12:24:49.655172413,17.60888785008507,0.29883862816937046,0.09152907766282707,1.0594155069926459,-0.0067658318239698255,15.896710882922827,1.1013527843665316,0.38774515775368495,-0.019077627242310248,None,None,0.00019068192340669662,0.04805184469848755,2.7608345579054183,0.029735628906884637,0.19351716476787245,6597,6596,16498.869047619046,,
Most Total Trades,APD,SMA,14,42,0,true,false,1,158,0.8312594198157779,44.5859872611465,1.209219445355756,1.3434140236327017,0.43601740620649815,-0.9592935558035259,42 days 00:18:20.636942675,0.009515803752782478,0.29128259151962077,0.5807216223334211,0.3913131182875344,0,11391,11392 days 00:00:00,1000.0,3760.8345579054517,276.08345579054514,6782.303422475293,100.0,872.1499499164445,47.36751652943653,5060 days 00:00:00,157,-3.7608345579051274,46.14054006501624,-29.138284309851674,9.400046163095482,-5.138933674785628,66 days 05:49:42.857142858,22 days 12:24:49.655172413,17.60888785008507,0.29883862816937046,0.09152907766282707,1.0594155069926459,-0.0067658318239698255,15.896710882922827,1.1013527843665316,0.38774515775368495,-0.019077627242310248,None,None,0.00019068192340669662,0.04805184469848755,2.7608345579054183,0.029735628906884637,0.19351716476787245,6597,6596,16498.869047619046,,
Least Total Trades,APD,SMA,14,42,0,true,false,1,158,0.8312594198157779,44.5859872611465,1.209219445355756,1.3434140236327017,0.43601740620649815,-0.9592935558035259,42 days 00:18:20.636942675,0.009515803752782478,0.29128259151962077,0.5807216223334211,0.3913131182875344,0,11391,11392 days 00:00:00,1000.0,3760.8345579054517,276.08345579054514,6782.303422475293,100.0,872.1499499164445,47.36751652943653,5060 days 00:00:00,157,-3.7608345579051274,46.14054006501624,-29.138284309851674,9.400046163095482,-5.138933674785628,66 days 05:49:42.857142858,22 days 12:24:49.655172413,17.60888785008507,0.29883862816937046,0.09152907766282707,1.0594155069926459,-0.0067658318239698255,15.896710882922827,1.1013527843665316,0.38774515775368495,-0.019077627242310248,None,None,0.00019068192340669662,0.04805184469848755,2.7608345579054183,0.029735628906884637,0.19351716476787245,6597,6596,16498.869047619046,,
Mean Total Trades,APD,SMA,14,42,0,true,false,1,158,0.8312594198157779,44.5859872611465,1.209219445355756,1.3434140236327017,0.43601740620649815,-0.9592935558035259,42 days 00:18:20.636942675,0.009515803752782478,0.29128259151962077,0.5807216223334211,0.3913131182875344,0,11391,11392 days 00:00:00,1000.0,3760.8345579054517,276.08345579054514,6782.303422475293,100.0,872.1499499164445,47.36751652943653,5060 days 00:00:00,157,-3.7608345579051274,46.14054006501624,-29.138284309851674,9.400046163095482,-5.138933674785628,66 days 05:49:42.857142858,22 days 12:24:49.655172413,17.60888785008507,0.29883862816937046,0.09152907766282707,1.0594155069926459,-0.0067658318239698255,15.896710882922827,1.1013527843665316,0.38774515775368495,-0.019077627242310248,None,None,0.00019068192340669662,0.04805184469848755,2.7608345579054183,0.029735628906884637,0.19351716476787245,6597,6596,16498.869047619046,,
Median Total Trades,APD,SMA,14,42,0,true,false,1,158,0.8312594198157779,44.5859872611465,1.209219445355756,1.3434140236327017,0.43601740620649815,-0.9592935558035259,42 days 00:18:20.636942675,0.009515803752782478,0.29128259151962077,0.5807216223334211,0.3913131182875344,0,11391,11392 days 00:00:00,1000.0,3760.8345579054517,276.08345579054514,6782.303422475293,100.0,872.1499499164445,47.36751652943653,5060 days 00:00:00,157,-3.7608345579051274,46.14054006501624,-29.138284309851674,9.400046163095482,-5.138933674785628,66 days 05:49:42.857142858,22 days 12:24:49.655172413,17.60888785008507,0.29883862816937046,0.09152907766282707,1.0594155069926459,-0.0067658318239698255,15.896710882922827,1.1013527843665316,0.38774515775368495,-0.019077627242310248,None,None,0.00019068192340669662,0.04805184469848755,2.7608345579054183,0.029735628906884637,0.19351716476787245,6597,6596,16498.869047619046,,
Most Win Rate [%],APD,SMA,14,42,0,true,false,1,158,0.8312594198157779,44.5859872611465,1.209219445355756,1.3434140236327017,0.43601740620649815,-0.9592935558035259,42 days 00:18:20.636942675,0.009515803752782478,0.29128259151962077,0.5807216223334211,0.3913131182875344,0,11391,11392 days 00:00:00,1000.0,3760.8345579054517,276.08345579054514,6782.303422475293,100.0,872.1499499164445,47.36751652943653,5060 days 00:00:00,157,-3.7608345579051274,46.14054006501624,-29.138284309851674,9.400046163095482,-5.138933674785628,66 days 05:49:42.857142858,22 days 12:24:49.655172413,17.60888785008507,0.29883862816937046,0.09152907766282707,1.0594155069926459,-0.0067658318239698255,15.896710882922827,1.1013527843665316,0.38774515775368495,-0.019077627242310248,None,None,0.00019068192340669662,0.04805184469848755,2.7608345579054183,0.029735628906884637,0.19351716476787245,6597,6596,16498.869047619046,,
Least Win Rate [%],APD,SMA,14,42,0,true,false,1,158,0.8312594198157779,44.5859872611465,1.209219445355756,1.3434140236327017,0.43601740620649815,-0.9592935558035259,42 days 00:18:20.636942675,0.009515803752782478,0.29128259151962077,0.5807216223334211,0.3913131182875344,0,11391,11392 days 00:00:00,1000.0,3760.8345579054517,276.08345579054514,6782.303422475293,100.0,872.1499499164445,47.36751652943653,5060 days 00:00:00,157,-3.7608345579051274,46.14054006501624,-29.138284309851674,9.400046163095482,-5.138933674785628,66 days 05:49:42.857142858,22 days 12:24:49.655172413,17.60888785008507,0.29883862816937046,0.09152907766282707,1.0594155069926459,-0.0067658318239698255,15.896710882922827,1.1013527843665316,0.38774515775368495,-0.019077627242310248,None,None,0.00019068192340669662,0.04805184469848755,2.7608345579054183,0.029735628906884637,0.19351716476787245,6597,6596,16498.869047619046,,
Mean Win Rate [%],APD,SMA,14,42,0,true,false,1,158,0.8312594198157779,44.5859872611465,1.209219445355756,1.3434140236327017,0.43601740620649815,-0.9592935558035259,42 days 00:18:20.636942675,0.009515803752782478,0.29128259151962077,0.5807216223334211,0.3913131182875344,0,11391,11392 days 00:00:00,1000.0,3760.8345579054517,276.08345579054514,6782.303422475293,100.0,872.1499499164445,47.36751652943653,5060 days 00:00:00,157,-3.7608345579051274,46.14054006501624,-29.138284309851674,9.400046163095482,-5.138933674785628,66 days 05:49:42.857142858,22 days 12:24:49.655172413,17.60888785008507,0.29883862816937046,0.09152907766282707,1.0594155069926459,-0.0067658318239698255,15.896710882922827,1.1013527843665316,0.38774515775368495,-0.019077627242310248,None,None,0.00019068192340669662,0.04805184469848755,2.7608345579054183,0.029735628906884637,0.19351716476787245,6597,6596,16498.869047619046,,
Median Win Rate [%],APD,SMA,14,42,0,true,false,1,158,0.8312594198157779,44.5859872611465,1.209219445355756,1.3434140236327017,0.43601740620649815,-0.9592935558035259,42 days 00:18:20.636942675,0.009515803752782478,0.29128259151962077,0.5807216223334211,0.3913131182875344,0,11391,11392 days 00:00:00,1000.0,3760.8345579054517,276.08345579054514,6782.303422475293,100.0,872.1499499164445,47.36751652943653,5060 days 00:00:00,157,-3.7608345579051274,46.14054006501624,-29.138284309851674,9.400046163095482,-5.138933674785628,66 days 05:49:42.857142858,22 days 12:24:49.655172413,17.60888785008507,0.29883862816937046,0.09152907766282707,1.0594155069926459,-0.0067658318239698255,15.896710882922827,1.1013527843665316,0.38774515775368495,-0.019077627242310248,None,None,0.00019068192340669662,0.04805184469848755,2.7608345579054183,0.029735628906884637,0.19351716476787245,6597,6596,16498.869047619046,,
Most Best Trade [%],APD,SMA,14,42,0,true,false,1,158,0.8312594198157779,44.5859872611465,1.209219445355756,1.3434140236327017,0.43601740620649815,-0.9592935558035259,42 days 00:18:20.636942675,0.009515803752782478,0.29128259151962077,0.5807216223334211,0.3913131182875344,0,11391,11392 days 00:00:00,1000.0,3760.8345579054517,276.08345579054514,6782.303422475293,100.0,872.1499499164445,47.36751652943653,5060 days 00:00:00,157,-3.7608345579051274,46.14054006501624,-29.138284309851674,9.400046163095482,-5.138933674785628,66 days 05:49:42.857142858,22 days 12:24:49.655172413,17.60888785008507,0.29883862816937046,0.09152907766282707,1.0594155069926459,-0.0067658318239698255,15.896710882922827,1.1013527843665316,0.38774515775368495,-0.019077627242310248,None,None,0.00019068192340669662,0.04805184469848755,2.7608345579054183,0.029735628906884637,0.19351716476787245,6597,6596,16498.869047619046,,
Least Best Trade [%],APD,SMA,14,42,0,true,false,1,158,0.8312594198157779,44.5859872611465,1.209219445355756,1.3434140236327017,0.43601740620649815,-0.9592935558035259,42 days 00:18:20.636942675,0.009515803752782478,0.29128259151962077,0.5807216223334211,0.3913131182875344,0,11391,11392 days 00:00:00,1000.0,3760.8345579054517,276.08345579054514,6782.303422475293,100.0,872.1499499164445,47.36751652943653,5060 days 00:00:00,157,-3.7608345579051274,46.14054006501624,-29.138284309851674,9.400046163095482,-5.138933674785628,66 days 05:49:42.857142858,22 days 12:24:49.655172413,17.60888785008507,0.29883862816937046,0.09152907766282707,1.0594155069926459,-0.0067658318239698255,15.896710882922827,1.1013527843665316,0.38774515775368495,-0.019077627242310248,None,None,0.00019068192340669662,0.04805184469848755,2.7608345579054183,0.029735628906884637,0.19351716476787245,6597,6596,16498.869047619046,,
Mean Best Trade [%],APD,SMA,14,42,0,true,false,1,158,0.8312594198157779,44.5859872611465,1.209219445355756,1.3434140236327017,0.43601740620649815,-0.9592935558035259,42 days 00:18:20.636942675,0.009515803752782478,0.29128259151962077,0.5807216223334211,0.3913131182875344,0,11391,11392 days 00:00:00,1000.0,3760.8345579054517,276.08345579054514,6782.303422475293,100.0,872.1499499164445,47.36751652943653,5060 days 00:00:00,157,-3.7608345579051274,46.14054006501624,-29.138284309851674,9.400046163095482,-5.138933674785628,66 days 05:49:42.857142858,22 days 12:24:49.655172413,17.60888785008507,0.29883862816937046,0.09152907766282707,1.0594155069926459,-0.0067658318239698255,15.896710882922827,1.1013527843665316,0.38774515775368495,-0.019077627242310248,None,None,0.00019068192340669662,0.04805184469848755,2.7608345579054183,0.029735628906884637,0.19351716476787245,6597,6596,16498.869047619046,,
Median Best Trade [%],APD,SMA,14,42,0,true,false,1,158,0.8312594198157779,44.5859872611465,1.209219445355756,1.3434140236327017,0.43601740620649815,-0.9592935558035259,42 days 00:18:20.636942675,0.009515803752782478,0.29128259151962077,0.5807216223334211,0.3913131182875344,0,11391,11392 days 00:00:00,1000.0,3760.8345579054517,276.08345579054514,6782.303422475293,100.0,872.1499499164445,47.36751652943653,5060 days 00:00:00,157,-3.7608345579051274,46.14054006501624,-29.138284309851674,9.400046163095482,-5.138933674785628,66 days 05:49:42.857142858,22 days 12:24:49.655172413,17.60888785008507,0.29883862816937046,0.09152907766282707,1.0594155069926459,-0.0067658318239698255,15.896710882922827,1.1013527843665316,0.38774515775368495,-0.019077627242310248,None,None,0.00019068192340669662,0.04805184469848755,2.7608345579054183,0.029735628906884637,0.19351716476787245,6597,6596,16498.869047619046,,
Most Worst Trade [%],APD,SMA,14,42,0,true,false,1,158,0.8312594198157779,44.5859872611465,1.209219445355756,1.3434140236327017,0.43601740620649815,-0.9592935558035259,42 days 00:18:20.636942675,0.009515803752782478,0.29128259151962077,0.5807216223334211,0.3913131182875344,0,11391,11392 days 00:00:00,1000.0,3760.8345579054517,276.08345579054514,6782.303422475293,100.0,872.1499499164445,47.36751652943653,5060 days 00:00:00,157,-3.7608345579051274,46.14054006501624,-29.138284309851674,9.400046163095482,-5.138933674785628,66 days 05:49:42.857142858,22 days 12:24:49.655172413,17.60888785008507,0.29883862816937046,0.09152907766282707,1.0594155069926459,-0.0067658318239698255,15.896710882922827,1.1013527843665316,0.38774515775368495,-0.019077627242310248,None,None,0.00019068192340669662,0.04805184469848755,2.7608345579054183,0.029735628906884637,0.19351716476787245,6597,6596,16498.869047619046,,
Least Worst Trade [%],APD,SMA,14,42,0,true,false,1,158,0.8312594198157779,44.5859872611465,1.209219445355756,1.3434140236327017,0.43601740620649815,-0.9592935558035259,42 days 00:18:20.636942675,0.009515803752782478,0.29128259151962077,0.5807216223334211,0.3913131182875344,0,11391,11392 days 00:00:00,1000.0,3760.8345579054517,276.08345579054514,6782.303422475293,100.0,872.1499499164445,47.36751652943653,5060 days 00:00:00,157,-3.7608345579051274,46.14054006501624,-29.138284309851674,9.400046163095482,-5.138933674785628,66 days 05:49:42.857142858,22 days 12:24:49.655172413,17.60888785008507,0.29883862816937046,0.09152907766282707,1.0594155069926459,-0.0067658318239698255,15.896710882922827,1.1013527843665316,0.38774515775368495,-0.019077627242310248,None,None,0.00019068192340669662,0.04805184469848755,2.7608345579054183,0.029735628906884637,0.19351716476787245,6597,6596,16498.869047619046,,
Mean Worst Trade [%],APD,SMA,14,42,0,true,false,1,158,0.8312594198157779,44.5859872611465,1.209219445355756,1.3434140236327017,0.43601740620649815,-0.9592935558035259,42 days 00:18:20.636942675,0.009515803752782478,0.29128259151962077,0.5807216223334211,0.3913131182875344,0,11391,11392 days 00:00:00,1000.0,3760.8345579054517,276.08345579054514,6782.303422475293,100.0,872.1499499164445,47.36751652943653,5060 days 00:00:00,157,-3.7608345579051274,46.14054006501624,-29.138284309851674,9.400046163095482,-5.138933674785628,66 days 05:49:42.857142858,22 days 12:24:49.655172413,17.60888785008507,0.29883862816937046,0.09152907766282707,1.0594155069926459,-0.0067658318239698255,15.896710882922827,1.1013527843665316,0.38774515775368495,-0.019077627242310248,None,None,0.00019068192340669662,0.04805184469848755,2.7608345579054183,0.029735628906884637,0.19351716476787245,6597,6596,16498.869047619046,,
Median Worst Trade [%],APD,SMA,14,42,0,true,false,1,158,0.8312594198157779,44.5859872611465,1.209219445355756,1.3434140236327017,0.43601740620649815,-0.9592935558035259,42 days 00:18:20.636942675,0.009515803752782478,0.29128259151962077,0.5807216223334211,0.3913131182875344,0,11391,11392 days 00:00:00,1000.0,3760.8345579054517,276.08345579054514,6782.303422475293,100.0,872.1499499164445,47.36751652943653,5060 days 00:00:00,157,-3.7608345579051274,46.14054006501624,-29.138284309851674,9.400046163095482,-5.138933674785628,66 days 05:49:42.857142858,22 days 12:24:49.655172413,17.60888785008507,0.29883862816937046,0.09152907766282707,1.0594155069926459,-0.0067658318239698255,15.896710882922827,1.1013527843665316,0.38774515775368495,-0.019077627242310248,None,None,0.00019068192340669662,0.04805184469848755,2.7608345579054183,0.029735628906884637,0.19351716476787245,6597,6596,16498.869047619046,,
Most Avg Winning Trade [%],APD,SMA,14,42,0,true,false,1,158,0.8312594198157779,44.5859872611465,1.209219445355756,1.3434140236327017,0.43601740620649815,-0.9592935558035259,42 days 00:18:20.636942675,0.009515803752782478,0.29128259151962077,0.5807216223334211,0.3913131182875344,0,11391,11392 days 00:00:00,1000.0,3760.8345579054517,276.08345579054514,6782.303422475293,100.0,872.1499499164445,47.36751652943653,5060 days 00:00:00,157,-3.7608345579051274,46.14054006501624,-29.138284309851674,9.400046163095482,-5.138933674785628,66 days 05:49:42.857142858,22 days 12:24:49.655172413,17.60888785008507,0.29883862816937046,0.09152907766282707,1.0594155069926459,-0.0067658318239698255,15.896710882922827,1.1013527843665316,0.38774515775368495,-0.019077627242310248,None,None,0.00019068192340669662,0.04805184469848755,2.7608345579054183,0.029735628906884637,0.19351716476787245,6597,6596,16498.869047619046,,
Least Avg Winning Trade [%],APD,SMA,14,42,0,true,false,1,158,0.8312594198157779,44.5859872611465,1.209219445355756,1.3434140236327017,0.43601740620649815,-0.9592935558035259,42 days 00:18:20.636942675,0.009515803752782478,0.29128259151962077,0.5807216223334211,0.3913131182875344,0,11391,11392 days 00:00:00,1000.0,3760.8345579054517,276.08345579054514,6782.303422475293,100.0,872.1499499164445,47.36751652943653,5060 days 00:00:00,157,-3.7608345579051274,46.14054006501624,-29.138284309851674,9.400046163095482,-5.138933674785628,66 days 05:49:42.857142858,22 days 12:24:49.655172413,17.60888785008507,0.29883862816937046,0.09152907766282707,1.0594155069926459,-0.0067658318239698255,15.896710882922827,1.1013527843665316,0.38774515775368495,-0.019077627242310248,None,None,0.00019068192340669662,0.04805184469848755,2.7608345579054183,0.029735628906884637,0.19351716476787245,6597,6596,16498.869047619046,,
