Metric Type,Short Window,Long Window,Ticker,Strategy Type,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
Median Win Rate [%],13,14,APP,SMA,0,true,false,1,66,1.3513489241528212,52.307692307692314,1.9732597931367668,5.718959027527751,2.378524269000524,0.4680310026036133,8 days 23:37:50.769230768,0.0420982292014701,1.300187617260788,2.580675422138837,7.4357197112133795,0,1066,1067 days 00:00:00,1000.0,7479.150506409223,647.9150506409223,441.34970548429726,100.0,313.31636215318105,58.484612188567596,390 days 00:00:00,65,-7.479150506408587,249.03293154618206,-24.52229792448923,17.242883561140694,-6.92018400933806,11 days 03:31:45.882352941,6 days 14:42:34.838709677,99.79430241408669,1.3025172236457658,1.6933393060475483,1.3371595837552324,3.204109192426199,33.2214022167639,1.4443037811715183,0.9258160237388724,-0.04740292198013652,,,0.002535627301890477,0.6389780800764002,6.479150506409215,0.608359411515818,0.590403124388679,0,66,1544.0079365079364,,,,
Most Best Trade [%],13,14,APP,SMA,0,true,false,1,66,1.3513489241528212,52.307692307692314,1.9732597931367668,5.718959027527751,2.378524269000524,0.4680310026036133,8 days 23:37:50.769230768,0.0420982292014701,1.300187617260788,2.580675422138837,7.4357197112133795,0,1066,1067 days 00:00:00,1000.0,7479.150506409223,647.9150506409223,441.34970548429726,100.0,313.31636215318105,58.484612188567596,390 days 00:00:00,65,-7.479150506408587,249.03293154618206,-24.52229792448923,17.242883561140694,-6.92018400933806,11 days 03:31:45.882352941,6 days 14:42:34.838709677,99.79430241408669,1.3025172236457658,1.6933393060475483,1.3371595837552324,3.204109192426199,33.2214022167639,1.4443037811715183,0.9258160237388724,-0.04740292198013652,,,0.002535627301890477,0.6389780800764002,6.479150506409215,0.608359411515818,0.590403124388679,0,66,1544.0079365079364,,,,
Mean Best Trade [%],13,14,APP,SMA,0,true,false,1,66,1.3513489241528212,52.307692307692314,1.9732597931367668,5.718959027527751,2.378524269000524,0.4680310026036133,8 days 23:37:50.769230768,0.0420982292014701,1.300187617260788,2.580675422138837,7.4357197112133795,0,1066,1067 days 00:00:00,1000.0,7479.150506409223,647.9150506409223,441.34970548429726,100.0,313.31636215318105,58.484612188567596,390 days 00:00:00,65,-7.479150506408587,249.03293154618206,-24.52229792448923,17.242883561140694,-6.92018400933806,11 days 03:31:45.882352941,6 days 14:42:34.838709677,99.79430241408669,1.3025172236457658,1.6933393060475483,1.3371595837552324,3.204109192426199,33.2214022167639,1.4443037811715183,0.9258160237388724,-0.04740292198013652,,,0.002535627301890477,0.6389780800764002,6.479150506409215,0.608359411515818,0.590403124388679,0,66,1544.0079365079364,,,,
Median Best Trade [%],13,14,APP,SMA,0,true,false,1,66,1.3513489241528212,52.307692307692314,1.9732597931367668,5.718959027527751,2.378524269000524,0.4680310026036133,8 days 23:37:50.769230768,0.0420982292014701,1.300187617260788,2.580675422138837,7.4357197112133795,0,1066,1067 days 00:00:00,1000.0,7479.150506409223,647.9150506409223,441.34970548429726,100.0,313.31636215318105,58.484612188567596,390 days 00:00:00,65,-7.479150506408587,249.03293154618206,-24.52229792448923,17.242883561140694,-6.92018400933806,11 days 03:31:45.882352941,6 days 14:42:34.838709677,99.79430241408669,1.3025172236457658,1.6933393060475483,1.3371595837552324,3.204109192426199,33.2214022167639,1.4443037811715183,0.9258160237388724,-0.04740292198013652,,,0.002535627301890477,0.6389780800764002,6.479150506409215,0.608359411515818,0.590403124388679,0,66,1544.0079365079364,,,,
Most Worst Trade [%],13,14,APP,SMA,0,true,false,1,66,1.3513489241528212,52.307692307692314,1.9732597931367668,5.718959027527751,2.378524269000524,0.4680310026036133,8 days 23:37:50.769230768,0.0420982292014701,1.300187617260788,2.580675422138837,7.4357197112133795,0,1066,1067 days 00:00:00,1000.0,7479.150506409223,647.9150506409223,441.34970548429726,100.0,313.31636215318105,58.484612188567596,390 days 00:00:00,65,-7.479150506408587,249.03293154618206,-24.52229792448923,17.242883561140694,-6.92018400933806,11 days 03:31:45.882352941,6 days 14:42:34.838709677,99.79430241408669,1.3025172236457658,1.6933393060475483,1.3371595837552324,3.204109192426199,33.2214022167639,1.4443037811715183,0.9258160237388724,-0.04740292198013652,,,0.002535627301890477,0.6389780800764002,6.479150506409215,0.608359411515818,0.590403124388679,0,66,1544.0079365079364,,,,
Least Avg Winning Trade [%],13,14,APP,SMA,0,true,false,1,66,1.3513489241528212,52.307692307692314,1.9732597931367668,5.718959027527751,2.378524269000524,0.4680310026036133,8 days 23:37:50.769230768,0.0420982292014701,1.300187617260788,2.580675422138837,7.4357197112133795,0,1066,1067 days 00:00:00,1000.0,7479.150506409223,647.9150506409223,441.34970548429726,100.0,313.31636215318105,58.484612188567596,390 days 00:00:00,65,-7.479150506408587,249.03293154618206,-24.52229792448923,17.242883561140694,-6.92018400933806,11 days 03:31:45.882352941,6 days 14:42:34.838709677,99.79430241408669,1.3025172236457658,1.6933393060475483,1.3371595837552324,3.204109192426199,33.2214022167639,1.4443037811715183,0.9258160237388724,-0.04740292198013652,,,0.002535627301890477,0.6389780800764002,6.479150506409215,0.608359411515818,0.590403124388679,0,66,1544.0079365079364,,,,
Most Avg Losing Trade [%],13,14,APP,SMA,0,true,false,1,66,1.3513489241528212,52.307692307692314,1.9732597931367668,5.718959027527751,2.378524269000524,0.4680310026036133,8 days 23:37:50.769230768,0.0420982292014701,1.300187617260788,2.580675422138837,7.4357197112133795,0,1066,1067 days 00:00:00,1000.0,7479.150506409223,647.9150506409223,441.34970548429726,100.0,313.31636215318105,58.484612188567596,390 days 00:00:00,65,-7.479150506408587,249.03293154618206,-24.52229792448923,17.242883561140694,-6.92018400933806,11 days 03:31:45.882352941,6 days 14:42:34.838709677,99.79430241408669,1.3025172236457658,1.6933393060475483,1.3371595837552324,3.204109192426199,33.2214022167639,1.4443037811715183,0.9258160237388724,-0.04740292198013652,,,0.002535627301890477,0.6389780800764002,6.479150506409215,0.608359411515818,0.590403124388679,0,66,1544.0079365079364,,,,
Most Profit Factor,13,14,APP,SMA,0,true,false,1,66,1.3513489241528212,52.307692307692314,1.9732597931367668,5.718959027527751,2.378524269000524,0.4680310026036133,8 days 23:37:50.769230768,0.0420982292014701,1.300187617260788,2.580675422138837,7.4357197112133795,0,1066,1067 days 00:00:00,1000.0,7479.150506409223,647.9150506409223,441.34970548429726,100.0,313.31636215318105,58.484612188567596,390 days 00:00:00,65,-7.479150506408587,249.03293154618206,-24.52229792448923,17.242883561140694,-6.92018400933806,11 days 03:31:45.882352941,6 days 14:42:34.838709677,99.79430241408669,1.3025172236457658,1.6933393060475483,1.3371595837552324,3.204109192426199,33.2214022167639,1.4443037811715183,0.9258160237388724,-0.04740292198013652,,,0.002535627301890477,0.6389780800764002,6.479150506409215,0.608359411515818,0.590403124388679,0,66,1544.0079365079364,,,,
Mean Profit Factor,13,14,APP,SMA,0,true,false,1,66,1.3513489241528212,52.307692307692314,1.9732597931367668,5.718959027527751,2.378524269000524,0.4680310026036133,8 days 23:37:50.769230768,0.0420982292014701,1.300187617260788,2.580675422138837,7.4357197112133795,0,1066,1067 days 00:00:00,1000.0,7479.150506409223,647.9150506409223,441.34970548429726,100.0,313.31636215318105,58.484612188567596,390 days 00:00:00,65,-7.479150506408587,249.03293154618206,-24.52229792448923,17.242883561140694,-6.92018400933806,11 days 03:31:45.882352941,6 days 14:42:34.838709677,99.79430241408669,1.3025172236457658,1.6933393060475483,1.3371595837552324,3.204109192426199,33.2214022167639,1.4443037811715183,0.9258160237388724,-0.04740292198013652,,,0.002535627301890477,0.6389780800764002,6.479150506409215,0.608359411515818,0.590403124388679,0,66,1544.0079365079364,,,,
Median Profit Factor,13,14,APP,SMA,0,true,false,1,66,1.3513489241528212,52.307692307692314,1.9732597931367668,5.718959027527751,2.378524269000524,0.4680310026036133,8 days 23:37:50.769230768,0.0420982292014701,1.300187617260788,2.580675422138837,7.4357197112133795,0,1066,1067 days 00:00:00,1000.0,7479.150506409223,647.9150506409223,441.34970548429726,100.0,313.31636215318105,58.484612188567596,390 days 00:00:00,65,-7.479150506408587,249.03293154618206,-24.52229792448923,17.242883561140694,-6.92018400933806,11 days 03:31:45.882352941,6 days 14:42:34.838709677,99.79430241408669,1.3025172236457658,1.6933393060475483,1.3371595837552324,3.204109192426199,33.2214022167639,1.4443037811715183,0.9258160237388724,-0.04740292198013652,,,0.002535627301890477,0.6389780800764002,6.479150506409215,0.608359411515818,0.590403124388679,0,66,1544.0079365079364,,,,
Most Expectancy,13,14,APP,SMA,0,true,false,1,66,1.3513489241528212,52.307692307692314,1.9732597931367668,5.718959027527751,2.378524269000524,0.4680310026036133,8 days 23:37:50.769230768,0.0420982292014701,1.300187617260788,2.580675422138837,7.4357197112133795,0,1066,1067 days 00:00:00,1000.0,7479.150506409223,647.9150506409223,441.34970548429726,100.0,313.31636215318105,58.484612188567596,390 days 00:00:00,65,-7.479150506408587,249.03293154618206,-24.52229792448923,17.242883561140694,-6.92018400933806,11 days 03:31:45.882352941,6 days 14:42:34.838709677,99.79430241408669,1.3025172236457658,1.6933393060475483,1.3371595837552324,3.204109192426199,33.2214022167639,1.4443037811715183,0.9258160237388724,-0.04740292198013652,,,0.002535627301890477,0.6389780800764002,6.479150506409215,0.608359411515818,0.590403124388679,0,66,1544.0079365079364,,,,
Most Sharpe Ratio,13,14,APP,SMA,0,true,false,1,66,1.3513489241528212,52.307692307692314,1.9732597931367668,5.718959027527751,2.378524269000524,0.4680310026036133,8 days 23:37:50.769230768,0.0420982292014701,1.300187617260788,2.580675422138837,7.4357197112133795,0,1066,1067 days 00:00:00,1000.0,7479.150506409223,647.9150506409223,441.34970548429726,100.0,313.31636215318105,58.484612188567596,390 days 00:00:00,65,-7.479150506408587,249.03293154618206,-24.52229792448923,17.242883561140694,-6.92018400933806,11 days 03:31:45.882352941,6 days 14:42:34.838709677,99.79430241408669,1.3025172236457658,1.6933393060475483,1.3371595837552324,3.204109192426199,33.2214022167639,1.4443037811715183,0.9258160237388724,-0.04740292198013652,,,0.002535627301890477,0.6389780800764002,6.479150506409215,0.608359411515818,0.590403124388679,0,66,1544.0079365079364,,,,
Most Calmar Ratio,13,14,APP,SMA,0,true,false,1,66,1.3513489241528212,52.307692307692314,1.9732597931367668,5.718959027527751,2.378524269000524,0.4680310026036133,8 days 23:37:50.769230768,0.0420982292014701,1.300187617260788,2.580675422138837,7.4357197112133795,0,1066,1067 days 00:00:00,1000.0,7479.150506409223,647.9150506409223,441.34970548429726,100.0,313.31636215318105,58.484612188567596,390 days 00:00:00,65,-7.479150506408587,249.03293154618206,-24.52229792448923,17.242883561140694,-6.92018400933806,11 days 03:31:45.882352941,6 days 14:42:34.838709677,99.79430241408669,1.3025172236457658,1.6933393060475483,1.3371595837552324,3.204109192426199,33.2214022167639,1.4443037811715183,0.9258160237388724,-0.04740292198013652,,,0.002535627301890477,0.6389780800764002,6.479150506409215,0.608359411515818,0.590403124388679,0,66,1544.0079365079364,,,,
Mean Calmar Ratio,13,14,APP,SMA,0,true,false,1,66,1.3513489241528212,52.307692307692314,1.9732597931367668,5.718959027527751,2.378524269000524,0.4680310026036133,8 days 23:37:50.769230768,0.0420982292014701,1.300187617260788,2.580675422138837,7.4357197112133795,0,1066,1067 days 00:00:00,1000.0,7479.150506409223,647.9150506409223,441.34970548429726,100.0,313.31636215318105,58.484612188567596,390 days 00:00:00,65,-7.479150506408587,249.03293154618206,-24.52229792448923,17.242883561140694,-6.92018400933806,11 days 03:31:45.882352941,6 days 14:42:34.838709677,99.79430241408669,1.3025172236457658,1.6933393060475483,1.3371595837552324,3.204109192426199,33.2214022167639,1.4443037811715183,0.9258160237388724,-0.04740292198013652,,,0.002535627301890477,0.6389780800764002,6.479150506409215,0.608359411515818,0.590403124388679,0,66,1544.0079365079364,,,,
Median Calmar Ratio,13,14,APP,SMA,0,true,false,1,66,1.3513489241528212,52.307692307692314,1.9732597931367668,5.718959027527751,2.378524269000524,0.4680310026036133,8 days 23:37:50.769230768,0.0420982292014701,1.300187617260788,2.580675422138837,7.4357197112133795,0,1066,1067 days 00:00:00,1000.0,7479.150506409223,647.9150506409223,441.34970548429726,100.0,313.31636215318105,58.484612188567596,390 days 00:00:00,65,-7.479150506408587,249.03293154618206,-24.52229792448923,17.242883561140694,-6.92018400933806,11 days 03:31:45.882352941,6 days 14:42:34.838709677,99.79430241408669,1.3025172236457658,1.6933393060475483,1.3371595837552324,3.204109192426199,33.2214022167639,1.4443037811715183,0.9258160237388724,-0.04740292198013652,,,0.002535627301890477,0.6389780800764002,6.479150506409215,0.608359411515818,0.590403124388679,0,66,1544.0079365079364,,,,
Most Omega Ratio,13,14,APP,SMA,0,true,false,1,66,1.3513489241528212,52.307692307692314,1.9732597931367668,5.718959027527751,2.378524269000524,0.4680310026036133,8 days 23:37:50.769230768,0.0420982292014701,1.300187617260788,2.580675422138837,7.4357197112133795,0,1066,1067 days 00:00:00,1000.0,7479.150506409223,647.9150506409223,441.34970548429726,100.0,313.31636215318105,58.484612188567596,390 days 00:00:00,65,-7.479150506408587,249.03293154618206,-24.52229792448923,17.242883561140694,-6.92018400933806,11 days 03:31:45.882352941,6 days 14:42:34.838709677,99.79430241408669,1.3025172236457658,1.6933393060475483,1.3371595837552324,3.204109192426199,33.2214022167639,1.4443037811715183,0.9258160237388724,-0.04740292198013652,,,0.002535627301890477,0.6389780800764002,6.479150506409215,0.608359411515818,0.590403124388679,0,66,1544.0079365079364,,,,
Mean Omega Ratio,13,14,APP,SMA,0,true,false,1,66,1.3513489241528212,52.307692307692314,1.9732597931367668,5.718959027527751,2.378524269000524,0.4680310026036133,8 days 23:37:50.769230768,0.0420982292014701,1.300187617260788,2.580675422138837,7.4357197112133795,0,1066,1067 days 00:00:00,1000.0,7479.150506409223,647.9150506409223,441.34970548429726,100.0,313.31636215318105,58.484612188567596,390 days 00:00:00,65,-7.479150506408587,249.03293154618206,-24.52229792448923,17.242883561140694,-6.92018400933806,11 days 03:31:45.882352941,6 days 14:42:34.838709677,99.79430241408669,1.3025172236457658,1.6933393060475483,1.3371595837552324,3.204109192426199,33.2214022167639,1.4443037811715183,0.9258160237388724,-0.04740292198013652,,,0.002535627301890477,0.6389780800764002,6.479150506409215,0.608359411515818,0.590403124388679,0,66,1544.0079365079364,,,,
Median Omega Ratio,13,14,APP,SMA,0,true,false,1,66,1.3513489241528212,52.307692307692314,1.9732597931367668,5.718959027527751,2.378524269000524,0.4680310026036133,8 days 23:37:50.769230768,0.0420982292014701,1.300187617260788,2.580675422138837,7.4357197112133795,0,1066,1067 days 00:00:00,1000.0,7479.150506409223,647.9150506409223,441.34970548429726,100.0,313.31636215318105,58.484612188567596,390 days 00:00:00,65,-7.479150506408587,249.03293154618206,-24.52229792448923,17.242883561140694,-6.92018400933806,11 days 03:31:45.882352941,6 days 14:42:34.838709677,99.79430241408669,1.3025172236457658,1.6933393060475483,1.3371595837552324,3.204109192426199,33.2214022167639,1.4443037811715183,0.9258160237388724,-0.04740292198013652,,,0.002535627301890477,0.6389780800764002,6.479150506409215,0.608359411515818,0.590403124388679,0,66,1544.0079365079364,,,,
Most Sortino Ratio,13,14,APP,SMA,0,true,false,1,66,1.3513489241528212,52.307692307692314,1.9732597931367668,5.718959027527751,2.378524269000524,0.4680310026036133,8 days 23:37:50.769230768,0.0420982292014701,1.300187617260788,2.580675422138837,7.4357197112133795,0,1066,1067 days 00:00:00,1000.0,7479.150506409223,647.9150506409223,441.34970548429726,100.0,313.31636215318105,58.484612188567596,390 days 00:00:00,65,-7.479150506408587,249.03293154618206,-24.52229792448923,17.242883561140694,-6.92018400933806,11 days 03:31:45.882352941,6 days 14:42:34.838709677,99.79430241408669,1.3025172236457658,1.6933393060475483,1.3371595837552324,3.204109192426199,33.2214022167639,1.4443037811715183,0.9258160237388724,-0.04740292198013652,,,0.002535627301890477,0.6389780800764002,6.479150506409215,0.608359411515818,0.590403124388679,0,66,1544.0079365079364,,,,
Least Max Drawdown Duration,13,14,APP,SMA,0,true,false,1,66,1.3513489241528212,52.307692307692314,1.9732597931367668,5.718959027527751,2.378524269000524,0.4680310026036133,8 days 23:37:50.769230768,0.0420982292014701,1.300187617260788,2.580675422138837,7.4357197112133795,0,1066,1067 days 00:00:00,1000.0,7479.150506409223,647.9150506409223,441.34970548429726,100.0,313.31636215318105,58.484612188567596,390 days 00:00:00,65,-7.479150506408587,249.03293154618206,-24.52229792448923,17.242883561140694,-6.92018400933806,11 days 03:31:45.882352941,6 days 14:42:34.838709677,99.79430241408669,1.3025172236457658,1.6933393060475483,1.3371595837552324,3.204109192426199,33.2214022167639,1.4443037811715183,0.9258160237388724,-0.04740292198013652,,,0.002535627301890477,0.6389780800764002,6.479150506409215,0.608359411515818,0.590403124388679,0,66,1544.0079365079364,,,,
Least Avg Winning Trade Duration,13,14,APP,SMA,0,true,false,1,66,1.3513489241528212,52.307692307692314,1.9732597931367668,5.718959027527751,2.378524269000524,0.4680310026036133,8 days 23:37:50.769230768,0.0420982292014701,1.300187617260788,2.580675422138837,7.4357197112133795,0,1066,1067 days 00:00:00,1000.0,7479.150506409223,647.9150506409223,441.34970548429726,100.0,313.31636215318105,58.484612188567596,390 days 00:00:00,65,-7.479150506408587,249.03293154618206,-24.52229792448923,17.242883561140694,-6.92018400933806,11 days 03:31:45.882352941,6 days 14:42:34.838709677,99.79430241408669,1.3025172236457658,1.6933393060475483,1.3371595837552324,3.204109192426199,33.2214022167639,1.4443037811715183,0.9258160237388724,-0.04740292198013652,,,0.002535627301890477,0.6389780800764002,6.479150506409215,0.608359411515818,0.590403124388679,0,66,1544.0079365079364,,,,
